query-id	corpus-id	score
dqa-en-human_anno-117-q000	dqa-en-117-c0002	1
dqa-en-human_anno-117-q000	dqa-en-117-c0004	1
dqa-en-human_anno-117-q000	dqa-en-117-c0005	1
dqa-en-human_anno-117-q000	dqa-en-117-c0007	1
dqa-en-human_anno-117-q000	dqa-en-117-c0008	1
dqa-en-human_anno-117-q001	dqa-en-117-c0001	1
dqa-en-human_anno-117-q001	dqa-en-117-c0003	1
dqa-en-human_anno-117-q001	dqa-en-117-c0031	1
dqa-en-human_anno-117-q002	dqa-en-117-c0005	1
dqa-en-human_anno-117-q002	dqa-en-117-c0012	1
dqa-en-human_anno-117-q002	dqa-en-117-c0013	1
dqa-en-human_anno-117-q002	dqa-en-117-c0022	1
dqa-en-human_anno-117-q003	dqa-en-117-c0004	1
dqa-en-human_anno-117-q003	dqa-en-117-c0006	1
dqa-en-human_anno-117-q003	dqa-en-117-c0008	1
dqa-en-human_anno-117-q003	dqa-en-117-c0014	1
dqa-en-human_anno-117-q003	dqa-en-117-c0020	1
dqa-en-human_anno-117-q003	dqa-en-117-c0026	1
dqa-en-human_anno-117-q004	dqa-en-117-c0004	1
dqa-en-human_anno-117-q004	dqa-en-117-c0005	1
dqa-en-human_anno-117-q004	dqa-en-117-c0007	1
dqa-en-human_anno-117-q004	dqa-en-117-c0008	1
dqa-en-human_anno-117-q004	dqa-en-117-c0012	1
dqa-en-human_anno-117-q004	dqa-en-117-c0028	1
dqa-en-human_anno-117-q004	dqa-en-117-c0029	1
dqa-en-human_anno-117-q004	dqa-en-117-c0030	1
dqa-en-human_anno-117-q004	dqa-en-117-c0032	1
dqa-en-human_anno-117-q004	dqa-en-117-c0033	1
dqa-en-human_anno-118-q000	dqa-en-118-c0011	1
dqa-en-human_anno-118-q000	dqa-en-118-c0014	1
dqa-en-human_anno-118-q000	dqa-en-118-c0017	1
dqa-en-human_anno-118-q001	dqa-en-118-c0010	1
dqa-en-human_anno-118-q002	dqa-en-118-c0001	1
dqa-en-human_anno-118-q002	dqa-en-118-c0012	1
dqa-en-human_anno-118-q003	dqa-en-118-c0001	1
dqa-en-human_anno-118-q003	dqa-en-118-c0012	1
dqa-en-human_anno-118-q003	dqa-en-118-c0023	1
dqa-en-human_anno-118-q003	dqa-en-118-c0024	1
dqa-en-human_anno-118-q004	dqa-en-118-c0015	1
dqa-en-human_anno-118-q004	dqa-en-118-c0028	1
dqa-en-human_anno-118-q004	dqa-en-118-c0029	1
dqa-en-human_anno-118-q005	dqa-en-118-c0026	1
dqa-en-human_anno-118-q005	dqa-en-118-c0039	1
dqa-en-human_anno-118-q006	dqa-en-118-c0010	1
dqa-en-human_anno-118-q006	dqa-en-118-c0014	1
dqa-en-human_anno-118-q006	dqa-en-118-c0017	1
dqa-en-human_anno-118-q006	dqa-en-118-c0018	1
dqa-en-human_anno-118-q006	dqa-en-118-c0024	1
dqa-en-human_anno-118-q006	dqa-en-118-c0029	1
dqa-en-human_anno-118-q006	dqa-en-118-c0031	1
dqa-en-human_anno-118-q006	dqa-en-118-c0039	1
dqa-en-human_anno-121-q000	dqa-en-121-c0001	1
dqa-en-human_anno-121-q000	dqa-en-121-c0002	1
dqa-en-human_anno-121-q000	dqa-en-121-c0006	1
dqa-en-human_anno-121-q000	dqa-en-121-c0007	1
dqa-en-human_anno-121-q001	dqa-en-121-c0007	1
dqa-en-human_anno-121-q001	dqa-en-121-c0011	1
dqa-en-human_anno-121-q001	dqa-en-121-c0012	1
dqa-en-human_anno-121-q002	dqa-en-121-c0005	1
dqa-en-human_anno-121-q002	dqa-en-121-c0010	1
dqa-en-human_anno-121-q002	dqa-en-121-c0012	1
dqa-en-human_anno-121-q002	dqa-en-121-c0017	1
dqa-en-human_anno-121-q002	dqa-en-121-c0034	1
dqa-en-human_anno-121-q002	dqa-en-121-c0035	1
dqa-en-human_anno-121-q003	dqa-en-121-c0016	1
dqa-en-human_anno-121-q003	dqa-en-121-c0021	1
dqa-en-human_anno-121-q003	dqa-en-121-c0022	1
dqa-en-human_anno-121-q003	dqa-en-121-c0027	1
dqa-en-human_anno-121-q003	dqa-en-121-c0031	1
dqa-en-human_anno-121-q003	dqa-en-121-c0032	1
dqa-en-human_anno-121-q003	dqa-en-121-c0034	1
dqa-en-human_anno-121-q004	dqa-en-121-c0025	1
dqa-en-human_anno-121-q004	dqa-en-121-c0026	1
dqa-en-human_anno-121-q005	dqa-en-121-c0026	1
dqa-en-human_anno-121-q005	dqa-en-121-c0028	1
dqa-en-human_anno-124-q000	dqa-en-124-c0002	1
dqa-en-human_anno-124-q000	dqa-en-124-c0007	1
dqa-en-human_anno-124-q001	dqa-en-124-c0003	1
dqa-en-human_anno-124-q001	dqa-en-124-c0008	1
dqa-en-human_anno-124-q001	dqa-en-124-c0031	1
dqa-en-human_anno-124-q002	dqa-en-124-c0018	1
dqa-en-human_anno-124-q003	dqa-en-124-c0005	1
dqa-en-human_anno-124-q004	dqa-en-124-c0029	1
dqa-en-human_anno-124-q005	dqa-en-124-c0011	1
dqa-en-human_anno-124-q005	dqa-en-124-c0035	1
dqa-en-human_anno-124-q005	dqa-en-124-c0044	1
dqa-en-human_anno-124-q005	dqa-en-124-c0045	1
dqa-en-human_anno-126-q000	dqa-en-126-c0008	1
dqa-en-human_anno-126-q000	dqa-en-126-c0009	1
dqa-en-human_anno-126-q000	dqa-en-126-c0010	1
dqa-en-human_anno-126-q001	dqa-en-126-c0001	1
dqa-en-human_anno-126-q001	dqa-en-126-c0011	1
dqa-en-human_anno-126-q001	dqa-en-126-c0012	1
dqa-en-human_anno-126-q002	dqa-en-126-c0012	1
dqa-en-human_anno-126-q002	dqa-en-126-c0021	1
dqa-en-human_anno-126-q002	dqa-en-126-c0027	1
dqa-en-human_anno-126-q002	dqa-en-126-c0032	1
dqa-en-human_anno-126-q002	dqa-en-126-c0033	1
dqa-en-human_anno-126-q002	dqa-en-126-c0038	1
dqa-en-human_anno-126-q003	dqa-en-126-c0008	1
dqa-en-human_anno-126-q003	dqa-en-126-c0017	1
dqa-en-human_anno-126-q003	dqa-en-126-c0023	1
dqa-en-human_anno-126-q003	dqa-en-126-c0038	1
dqa-en-human_anno-126-q004	dqa-en-126-c0017	1
dqa-en-human_anno-126-q004	dqa-en-126-c0037	1
dqa-en-human_anno-126-q005	dqa-en-126-c0003	1
dqa-en-human_anno-126-q005	dqa-en-126-c0023	1
dqa-en-human_anno-126-q005	dqa-en-126-c0038	1
dqa-en-human_anno-128-q000	dqa-en-128-c0006	1
dqa-en-human_anno-128-q000	dqa-en-128-c0012	1
dqa-en-human_anno-128-q000	dqa-en-128-c0017	1
dqa-en-human_anno-128-q000	dqa-en-128-c0022	1
dqa-en-human_anno-128-q000	dqa-en-128-c0024	1
dqa-en-human_anno-128-q001	dqa-en-128-c0005	1
dqa-en-human_anno-128-q001	dqa-en-128-c0006	1
dqa-en-human_anno-128-q001	dqa-en-128-c0012	1
dqa-en-human_anno-128-q001	dqa-en-128-c0018	1
dqa-en-human_anno-128-q001	dqa-en-128-c0019	1
dqa-en-human_anno-128-q002	dqa-en-128-c0005	1
dqa-en-human_anno-128-q002	dqa-en-128-c0013	1
dqa-en-human_anno-128-q002	dqa-en-128-c0015	1
dqa-en-human_anno-128-q003	dqa-en-128-c0022	1
dqa-en-human_anno-128-q004	dqa-en-128-c0024	1
dqa-en-human_anno-128-q004	dqa-en-128-c0025	1
dqa-en-human_anno-128-q005	dqa-en-128-c0001	1
dqa-en-human_anno-128-q005	dqa-en-128-c0002	1
dqa-en-human_anno-128-q005	dqa-en-128-c0005	1
dqa-en-human_anno-128-q005	dqa-en-128-c0006	1
dqa-en-human_anno-128-q005	dqa-en-128-c0012	1
dqa-en-human_anno-128-q005	dqa-en-128-c0014	1
dqa-en-human_anno-128-q005	dqa-en-128-c0015	1
dqa-en-human_anno-128-q005	dqa-en-128-c0017	1
dqa-en-human_anno-128-q005	dqa-en-128-c0018	1
dqa-en-human_anno-128-q005	dqa-en-128-c0022	1
dqa-en-human_anno-128-q005	dqa-en-128-c0024	1
dqa-en-human_anno-128-q005	dqa-en-128-c0031	1
dqa-en-human_anno-134-q000	dqa-en-134-c0002	1
dqa-en-human_anno-134-q000	dqa-en-134-c0004	1
dqa-en-human_anno-134-q000	dqa-en-134-c0005	1
dqa-en-human_anno-134-q000	dqa-en-134-c0015	1
dqa-en-human_anno-134-q001	dqa-en-134-c0003	1
dqa-en-human_anno-134-q001	dqa-en-134-c0005	1
dqa-en-human_anno-134-q001	dqa-en-134-c0017	1
dqa-en-human_anno-134-q002	dqa-en-134-c0035	1
dqa-en-human_anno-134-q002	dqa-en-134-c0037	1
dqa-en-human_anno-134-q003	dqa-en-134-c0003	1
dqa-en-human_anno-134-q003	dqa-en-134-c0004	1
dqa-en-human_anno-134-q003	dqa-en-134-c0005	1
dqa-en-human_anno-134-q003	dqa-en-134-c0017	1
dqa-en-human_anno-134-q003	dqa-en-134-c0034	1
dqa-en-human_anno-134-q003	dqa-en-134-c0040	1
dqa-en-human_anno-134-q003	dqa-en-134-c0041	1
dqa-en-human_anno-134-q004	dqa-en-134-c0040	1
dqa-en-human_anno-134-q004	dqa-en-134-c0041	1
dqa-en-human_anno-134-q005	dqa-en-134-c0007	1
dqa-en-human_anno-134-q005	dqa-en-134-c0008	1
dqa-en-human_anno-134-q005	dqa-en-134-c0018	1
dqa-en-human_anno-134-q005	dqa-en-134-c0041	1
dqa-en-human_anno-136-q000	dqa-en-136-c0005	1
dqa-en-human_anno-136-q000	dqa-en-136-c0008	1
dqa-en-human_anno-136-q000	dqa-en-136-c0010	1
dqa-en-human_anno-136-q001	dqa-en-136-c0018	1
dqa-en-human_anno-136-q001	dqa-en-136-c0024	1
dqa-en-human_anno-136-q001	dqa-en-136-c0025	1
dqa-en-human_anno-136-q002	dqa-en-136-c0010	1
dqa-en-human_anno-136-q002	dqa-en-136-c0016	1
dqa-en-human_anno-136-q002	dqa-en-136-c0019	1
dqa-en-human_anno-136-q002	dqa-en-136-c0020	1
dqa-en-human_anno-136-q003	dqa-en-136-c0020	1
dqa-en-human_anno-136-q003	dqa-en-136-c0022	1
dqa-en-human_anno-136-q003	dqa-en-136-c0023	1
dqa-en-human_anno-136-q004	dqa-en-136-c0002	1
dqa-en-human_anno-136-q004	dqa-en-136-c0007	1
dqa-en-human_anno-136-q005	dqa-en-136-c0008	1
dqa-en-human_anno-136-q005	dqa-en-136-c0018	1
dqa-en-human_anno-136-q005	dqa-en-136-c0023	1
dqa-en-human_anno-136-q005	dqa-en-136-c0026	1
dqa-en-human_anno-136-q005	dqa-en-136-c0036	1
dqa-en-human_anno-137-q000	dqa-en-137-c0008	1
dqa-en-human_anno-137-q000	dqa-en-137-c0012	1
dqa-en-human_anno-137-q000	dqa-en-137-c0019	1
dqa-en-human_anno-137-q001	dqa-en-137-c0002	1
dqa-en-human_anno-137-q002	dqa-en-137-c0024	1
dqa-en-human_anno-137-q002	dqa-en-137-c0032	1
dqa-en-human_anno-137-q002	dqa-en-137-c0033	1
dqa-en-human_anno-137-q002	dqa-en-137-c0043	1
dqa-en-human_anno-137-q003	dqa-en-137-c0003	1
dqa-en-human_anno-137-q003	dqa-en-137-c0039	1
dqa-en-human_anno-137-q003	dqa-en-137-c0043	1
dqa-en-human_anno-137-q004	dqa-en-137-c0008	1
dqa-en-human_anno-137-q004	dqa-en-137-c0015	1
dqa-en-human_anno-137-q004	dqa-en-137-c0018	1
dqa-en-human_anno-137-q004	dqa-en-137-c0020	1
dqa-en-human_anno-137-q005	dqa-en-137-c0034	1
dqa-en-human_anno-137-q005	dqa-en-137-c0035	1
dqa-en-human_anno-137-q006	dqa-en-137-c0003	1
dqa-en-human_anno-137-q006	dqa-en-137-c0008	1
dqa-en-human_anno-137-q006	dqa-en-137-c0012	1
dqa-en-human_anno-137-q006	dqa-en-137-c0015	1
dqa-en-human_anno-137-q006	dqa-en-137-c0016	1
dqa-en-human_anno-137-q006	dqa-en-137-c0018	1
dqa-en-human_anno-137-q006	dqa-en-137-c0020	1
dqa-en-human_anno-137-q006	dqa-en-137-c0032	1
dqa-en-human_anno-137-q006	dqa-en-137-c0039	1
dqa-en-human_anno-137-q006	dqa-en-137-c0041	1
dqa-en-human_anno-137-q006	dqa-en-137-c0043	1
dqa-en-human_anno-140-q000	dqa-en-140-c0004	1
dqa-en-human_anno-140-q001	dqa-en-140-c0011	1
dqa-en-human_anno-140-q001	dqa-en-140-c0013	1
dqa-en-human_anno-140-q001	dqa-en-140-c0014	1
dqa-en-human_anno-140-q002	dqa-en-140-c0014	1
dqa-en-human_anno-140-q003	dqa-en-140-c0004	1
dqa-en-human_anno-140-q003	dqa-en-140-c0012	1
dqa-en-human_anno-140-q003	dqa-en-140-c0029	1
dqa-en-human_anno-140-q004	dqa-en-140-c0031	1
dqa-en-human_anno-140-q005	dqa-en-140-c0027	1
dqa-en-human_anno-140-q005	dqa-en-140-c0035	1
dqa-en-human_anno-140-q005	dqa-en-140-c0036	1
dqa-en-human_anno-142-q000	dqa-en-142-c0001	1
dqa-en-human_anno-142-q000	dqa-en-142-c0007	1
dqa-en-human_anno-142-q000	dqa-en-142-c0020	1
dqa-en-human_anno-142-q000	dqa-en-142-c0021	1
dqa-en-human_anno-142-q000	dqa-en-142-c0029	1
dqa-en-human_anno-142-q000	dqa-en-142-c0034	1
dqa-en-human_anno-142-q001	dqa-en-142-c0007	1
dqa-en-human_anno-142-q001	dqa-en-142-c0035	1
dqa-en-human_anno-142-q001	dqa-en-142-c0037	1
dqa-en-human_anno-142-q001	dqa-en-142-c0041	1
dqa-en-human_anno-142-q002	dqa-en-142-c0000	1
dqa-en-human_anno-142-q002	dqa-en-142-c0001	1
dqa-en-human_anno-142-q002	dqa-en-142-c0002	1
dqa-en-human_anno-142-q002	dqa-en-142-c0006	1
dqa-en-human_anno-142-q002	dqa-en-142-c0019	1
dqa-en-human_anno-142-q002	dqa-en-142-c0025	1
dqa-en-human_anno-142-q002	dqa-en-142-c0037	1
dqa-en-human_anno-142-q003	dqa-en-142-c0019	1
dqa-en-human_anno-142-q003	dqa-en-142-c0029	1
dqa-en-human_anno-142-q003	dqa-en-142-c0038	1
dqa-en-human_anno-142-q003	dqa-en-142-c0039	1
